epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,117.13,0.83209,1.48637,0.43356,0.83517,0.98896,0.97085,0.99108,0.76251,0.86592,0.84474,0.8465,0.43315,0.78734,1.43979,0.40668,0.83737,0.000709809,0.000709809,0.000709809
60,118.567,0.78609,1.35022,0.42577,0.83714,0.98942,0.97571,0.99089,0.78247,0.86975,0.845,0.86202,0.45681,0.74502,1.31938,0.39311,0.83048,0.000693305,0.000693305,0.000693305
61,120.158,0.78281,1.37498,0.41785,0.84046,0.99065,0.97559,0.99062,0.78284,0.86484,0.84714,0.86476,0.45796,0.74021,1.33095,0.39429,0.82891,0.000676802,0.000676802,0.000676802
62,121.731,0.78481,1.38814,0.42142,0.84219,0.99437,0.97351,0.99065,0.77278,0.87708,0.86786,0.88267,0.48315,0.75072,1.36961,0.39777,0.82598,0.000660299,0.000660299,0.000660299
63,123.313,0.77451,1.32331,0.42004,0.83765,0.9945,0.97143,0.99099,0.77733,0.89156,0.86786,0.88619,0.50533,0.73817,1.34078,0.38995,0.82378,0.000643795,0.000643795,0.000643795
64,124.877,0.7682,1.27445,0.41568,0.8369,0.99026,0.97587,0.99107,0.79215,0.88651,0.87164,0.88471,0.50646,0.71258,1.28348,0.3758,0.82112,0.000627292,0.000627292,0.000627292
65,126.462,0.76661,1.34543,0.40497,0.83337,0.99069,0.97571,0.99075,0.79622,0.86733,0.84134,0.85463,0.48984,0.70974,1.29232,0.38274,0.82168,0.000610789,0.000610789,0.000610789
66,127.876,0.74337,1.25073,0.40716,0.83979,0.99267,0.97157,0.99089,0.79725,0.86512,0.84348,0.84241,0.46799,0.71367,1.27485,0.38779,0.82102,0.000594286,0.000594286,0.000594286
67,129.292,0.7528,1.28428,0.41217,0.84593,0.99125,0.97286,0.99155,0.80088,0.87078,0.85143,0.83656,0.44896,0.69127,1.26494,0.37751,0.81793,0.000577782,0.000577782,0.000577782
68,130.726,0.7357,1.26975,0.40002,0.84582,0.98923,0.97742,0.99211,0.79858,0.87667,0.86441,0.84692,0.45256,0.68911,1.2457,0.37297,0.81888,0.000561279,0.000561279,0.000561279
