epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,24.6066,1.23444,1.38526,0.69935,0.888,0.98732,0.37304,0.92767,0.52353,0.98415,0.37184,0.89439,0.46099,1.17574,1.39099,2.10983,0.8681,0.00097848,0.00097848,0.00097848
42,25.1949,1.19646,1.25381,0.67821,0.8817,0.98728,0.55754,0.80406,0.47415,0.97879,0.55275,0.78493,0.40545,1.18574,1.34722,2.2356,0.88126,0.000986206,0.000986206,0.000986206
43,25.7693,1.1522,1.30401,0.65801,0.86171,0.99307,0.34334,0.6549,0.36594,1,0.35305,0.66679,0.35999,1.35847,1.62019,2.23097,0.90468,0.00099314,0.00099314,0.00099314
44,26.3412,1.14804,1.29065,0.65153,0.86965,0.99443,0.21363,0.66951,0.39463,1,0.21483,0.67688,0.38963,1.27496,1.50143,2.2395,0.89048,0.000999282,0.000999282,0.000999282
45,26.9159,1.1697,1.29384,0.65658,0.86129,1,0.24283,0.74222,0.43056,0.98027,0.23804,0.72281,0.34353,1.13298,1.34051,2.26887,0.87087,0.00100463,0.00100463,0.00100463
46,27.4807,1.23241,1.33933,0.67882,0.88677,0.9881,0.29835,0.79753,0.43845,0.98413,0.29715,0.78746,0.37797,1.15839,1.29543,2.17936,0.86718,0.00100919,0.00100919,0.00100919
47,28.0535,1.19208,1.30642,0.67691,0.88106,0.96071,0.32208,0.82934,0.4562,0.99643,0.33406,0.85824,0.45547,1.15263,1.31931,2.04717,0.86497,0.00101296,0.00101296,0.00101296
48,28.6328,1.09553,1.30255,0.64127,0.85202,0.97633,0.34576,0.8602,0.49149,0.99324,0.35175,0.86404,0.49881,1.13073,1.31276,1.91083,0.86246,0.00101593,0.00101593,0.00101593
49,29.2284,1.17655,1.29524,0.65191,0.86822,0.99375,0.38069,0.90085,0.56315,0.98437,0.3771,0.87074,0.47357,1.0464,1.35155,1.76349,0.85616,0.00101811,0.00101811,0.00101811
50,29.819,1.10066,1.26438,0.63849,0.85407,0.99478,0.45614,0.94774,0.60526,0.96343,0.44177,0.85608,0.42132,1.02717,1.33172,1.64705,0.85437,0.0010195,0.0010195,0.0010195
51,30.3883,1.11526,1.23288,0.63441,0.85797,0.98917,0.54716,0.95903,0.60791,0.94371,0.52201,0.86694,0.42334,1.04629,1.31297,1.60138,0.8522,0.00101,0.00101,0.00101
52,30.9723,1.14922,1.27311,0.64425,0.85899,0.98439,0.60416,0.95866,0.59131,0.94146,0.57781,0.88385,0.45188,1.11341,1.35827,1.58938,0.85981,0.0009902,0.0009902,0.0009902
53,31.5625,1.0551,1.14608,0.63483,0.85427,0.98425,0.6734,0.96354,0.59679,0.94399,0.64586,0.90098,0.49882,1.11053,1.34067,1.46236,0.85687,0.0009704,0.0009704,0.0009704
54,32.1498,1.10651,1.23884,0.62807,0.86243,0.98055,0.72441,0.96144,0.62366,0.95785,0.70764,0.92737,0.52526,1.00377,1.24758,1.32336,0.84174,0.0009506,0.0009506,0.0009506
55,32.7443,1.10583,1.18615,0.61312,0.8356,0.98049,0.7826,0.97462,0.64248,0.95049,0.75865,0.92189,0.47126,0.97188,1.20046,1.24354,0.84044,0.0009308,0.0009308,0.0009308
56,33.3178,1.05304,1.16541,0.60888,0.8518,0.9804,0.83865,0.97906,0.63153,0.92982,0.79332,0.91418,0.47094,0.97878,1.1809,1.1894,0.84087,0.000911,0.000911,0.000911
57,33.9143,1.03546,1.18373,0.59221,0.84589,0.98404,0.88626,0.97782,0.62479,0.94548,0.85153,0.94279,0.52423,0.97877,1.21484,1.12975,0.84084,0.0008912,0.0008912,0.0008912
58,34.4952,1.07183,1.25066,0.59869,0.84693,0.97823,0.91478,0.97639,0.61186,0.9477,0.88623,0.94933,0.54983,1.00124,1.19973,1.0981,0.84391,0.0008714,0.0008714,0.0008714
59,35.079,1.0807,1.1647,0.59715,0.86156,0.98247,0.93942,0.97984,0.62844,0.94364,0.90229,0.94627,0.52096,0.97316,1.16386,1.03373,0.84085,0.0008516,0.0008516,0.0008516
60,35.6465,1.02977,1.13887,0.60247,0.84884,0.97909,0.95352,0.98939,0.64543,0.92868,0.90442,0.92697,0.49592,0.93917,1.17641,0.95122,0.83689,0.0008318,0.0008318,0.0008318
61,36.2148,1.02888,1.20533,0.58636,0.8416,0.98181,0.96963,0.99189,0.65503,0.92976,0.91949,0.93742,0.51139,0.9273,1.17501,0.87206,0.83712,0.000812,0.000812,0.000812
62,36.7975,0.9932,1.14221,0.56316,0.84181,0.97936,0.96595,0.99078,0.65804,0.94553,0.93545,0.9621,0.54778,0.93017,1.16344,0.80707,0.83813,0.0007922,0.0007922,0.0007922
63,37.3783,0.99447,1.14681,0.56177,0.84159,0.97338,0.96349,0.98096,0.65238,0.94554,0.9356,0.95817,0.54731,0.94018,1.15988,0.76364,0.84009,0.0007724,0.0007724,0.0007724
64,37.9472,1.00698,1.13681,0.56418,0.84963,0.97817,0.96593,0.98285,0.65908,0.93087,0.91922,0.93969,0.51551,0.94202,1.15912,0.74717,0.84227,0.0007526,0.0007526,0.0007526
65,38.5168,0.95011,1.08769,0.54972,0.83745,0.98125,0.97485,0.99292,0.67505,0.93242,0.92695,0.93836,0.51035,0.91341,1.15966,0.74653,0.83685,0.0007328,0.0007328,0.0007328
66,39.0903,0.98403,1.10494,0.55521,0.84215,0.98433,0.97789,0.99395,0.67467,0.93256,0.9274,0.94212,0.50455,0.93226,1.13004,0.73193,0.83821,0.000713,0.000713,0.000713
67,39.6652,1.04839,1.14452,0.56915,0.83625,0.9843,0.97577,0.9927,0.67405,0.94333,0.93772,0.95414,0.50799,0.94244,1.14648,0.70151,0.84043,0.0006932,0.0006932,0.0006932
68,40.2383,1.01525,1.09606,0.56102,0.8389,0.97956,0.97585,0.99163,0.67539,0.94465,0.94014,0.95529,0.52198,0.91622,1.13792,0.67576,0.83733,0.0006734,0.0006734,0.0006734
69,40.8033,0.97223,1.07956,0.54985,0.83806,0.9733,0.97725,0.98822,0.64988,0.93373,0.94012,0.95688,0.53341,0.92293,1.14204,0.68208,0.83567,0.0006536,0.0006536,0.0006536
70,41.3752,1.03168,1.17267,0.55854,0.84602,0.97125,0.97006,0.99053,0.65699,0.92427,0.92814,0.95218,0.54263,0.90379,1.08055,0.69908,0.83159,0.0006338,0.0006338,0.0006338
71,41.9405,0.98221,1.12796,0.55172,0.83813,0.96867,0.96288,0.9905,0.68268,0.92771,0.92216,0.94731,0.51759,0.8854,1.08651,0.71479,0.83144,0.000614,0.000614,0.000614
72,42.4993,1.00827,1.17715,0.56167,0.84204,0.97191,0.95293,0.99074,0.68032,0.92916,0.91101,0.9402,0.51461,0.89941,1.10463,0.72195,0.8332,0.0005942,0.0005942,0.0005942
73,43.0671,0.99548,1.14704,0.54827,0.84516,0.9812,0.9485,0.99143,0.6832,0.93798,0.90566,0.94333,0.53539,0.87705,1.04111,0.71167,0.82985,0.0005744,0.0005744,0.0005744
74,43.6461,0.98852,1.14098,0.54135,0.83784,0.98295,0.96662,0.99212,0.68231,0.93767,0.91876,0.94067,0.53386,0.88655,1.03674,0.68942,0.83138,0.0005546,0.0005546,0.0005546
75,44.2141,1.00811,1.1509,0.53998,0.84831,0.98068,0.97267,0.99168,0.676,0.92612,0.91856,0.93602,0.51252,0.90828,1.05081,0.65623,0.8375,0.0005348,0.0005348,0.0005348
76,44.7835,0.94456,1.07711,0.53483,0.83489,0.98086,0.98203,0.9923,0.67802,0.91306,0.91815,0.92179,0.47901,0.95231,1.11747,0.61156,0.84763,0.000515,0.000515,0.000515
77,45.3545,0.99479,1.1193,0.53749,0.84083,0.9861,0.98563,0.99294,0.68355,0.92339,0.92389,0.93095,0.48301,0.93035,1.14571,0.57028,0.8464,0.0004952,0.0004952,0.0004952
78,45.9288,0.95746,1.12793,0.53075,0.82971,0.98952,0.98323,0.99298,0.7013,0.93749,0.93653,0.93954,0.51014,0.86366,1.091,0.53421,0.83382,0.0004754,0.0004754,0.0004754
79,46.503,0.93992,1.07467,0.52442,0.82922,0.9884,0.98204,0.99251,0.69753,0.94161,0.93772,0.9514,0.54487,0.87109,1.0682,0.51935,0.82953,0.0004556,0.0004556,0.0004556
80,47.0879,0.95024,1.07073,0.52421,0.82663,0.98914,0.9819,0.99275,0.69519,0.9433,0.93645,0.94894,0.54312,0.89134,1.06187,0.51458,0.83062,0.0004358,0.0004358,0.0004358
81,47.657,0.99635,1.11168,0.54708,0.83546,0.98826,0.98323,0.99266,0.70503,0.94337,0.93892,0.94901,0.53847,0.84885,1.01255,0.51432,0.82615,0.000416,0.000416,0.000416
82,48.2404,0.96259,1.0642,0.52513,0.84035,0.99036,0.98419,0.99284,0.71136,0.93851,0.93293,0.94301,0.52648,0.82777,0.9921,0.5185,0.82526,0.0003962,0.0003962,0.0003962
83,48.8115,0.98127,1.05594,0.5365,0.83924,0.98625,0.97844,0.99226,0.70798,0.94006,0.93413,0.94838,0.53733,0.83334,1.00287,0.5187,0.82664,0.0003764,0.0003764,0.0003764
84,49.3962,0.9443,1.0135,0.53197,0.82393,0.98553,0.97874,0.99265,0.70817,0.94936,0.94293,0.95586,0.55365,0.84064,0.99943,0.51245,0.82696,0.0003566,0.0003566,0.0003566
85,49.9836,0.91648,1.01303,0.50963,0.83321,0.99025,0.98323,0.99312,0.70897,0.95177,0.9454,0.96161,0.56328,0.84461,0.99465,0.50573,0.82618,0.0003368,0.0003368,0.0003368
